[FIRs]
;ICAO|NAME|CALLSIGN PREFIX|FIR BOUNDARY
EGPX-WD|Scottish ACC (West/Deancross) - Scottish|SCO_WD|EGPX-WD
EGPX-W|Scottish ACC (West) - Scottish|SCO_W|EGPX-W
EGPX-W|Scottish ACC (Rathlin) - Scottish|SCO_R|EGPX-W
EGPX-A|Scottish TMA Antrim (Up to FL255) - Scottish|STC_A|EGPX-A
EGTL|London TMA (Up to FL195) - London|LTC|EGTL
EGTL-N|London TMA North (Up to FL155) - London|LTC_N|EGTL-N
EGTL-N|London TMA North (Up to FL155) - London|LTC_NE|EGTL-N
EGTL-N|London TMA North (Up to FL155) - London|LTC_NW|EGTL-N
EGTL-S|London TMA South (Up to FL195) - London|LTC_S|EGTL-S
EGTL-S|London TMA South (Up to FL195) - London|LTC_SE|EGTL-S
EGTL-S|London TMA South (Up to FL195) - London|LTC_SW|EGTL-S
EGTM|Manchester TMA (Up to FL285) - London|MAN|EGTM
EGTM-W|Manchester TMA West (Up to FL285) - London|MAN_W|EGTM-W
EGTM-W|Manchester TMA West (Up to FL285) - London|MAN_WP|EGTM-W
EGTM-W|Manchester TMA West (Up to FL285) - London|MAN_WI|EGTM-W
EGTM-NE|Manchester TMA North East (Up to FL285) - London|MAN_NE|EGTM-NE
EGTM-W|Manchester TMA South East (Up to FL195) - London|MAN_SE|EGTM-W
EGTT|London|LON|EGTT
EGTT-C|London ACC (Central) - London|LON_C|EGTT-C
EGTT-M|London ACC (Daventry) - London|LON_M|EGTT-M
EGTT-M|London ACC (Daventry) - London|LON_ME|EGTT-M
EGTT-M|London ACC (Daventry) - London|LON_ML|EGTT-M
EGTT-M|London ACC (Daventry) - London|LON_MW|EGTT-M
EGTT-M|London TMA Midlands (Up to FL225) - London|LTC_M|EGTT-M
EGTT-M|London TMA Midlands (Up to FL225) - London|LTC_MW|EGTT-M
EGTT-E|London ACC (Clacton) - London|LON_E|EGTT-E
EGTT-E|London ACC (Clacton) - London|LON_ES|EGTT-E
EGTT-E|London ACC (Clacton) - London|LON_EN|EGTT-E
EGTT-E|London TMA East (Up to FL245) - London|LTC_E|EGTT-E
EGTT-E|London TMA East (Up to FL245) - London|LTC_ES|EGTT-E
EGTT-E|London TMA East (Up to FL245) - London|LTC_ER|EGTT-E
EGTT-N|London ACC (North) - London|LON_N|EGTT-N
EGTT-NE|London ACC (North Sea) - London|LON_NE|EGTT-NE
EGTT-NW|London ACC (Lakes) - London|LON_NW|EGTT-NW
EGTT-NW|London ACC (Lakes) - London|LON_NU|EGTT-NW
EGTT-S|London ACC (South) - London|LON_S|EGTT-S
EGTT-S|London ACC (Worthing) - London|LON_SF|EGTT-S
EGTT-S|London ACC (Worthing) - London|LON_SH|EGTT-S
EGTT-S|London ACC (LUS) - London|LON_SU|EGTT-S
EGTT-D|London ACC (Dover) - London|LON_D|EGTT-D
EGTT-D|London ACC (Dover) - London|LON_DK|EGTT-D
EGTT-D|London ACC (Dover) - London|LON_DL|EGTT-D
EGTT-SC|London ACC (South-Central) - London|LON_SC|EGTT-SC
EGTT-W|London ACC (West) - London|LON_W|EGTT-W
EGTT-W|London ACC (West) - London|LON_WH|EGTT-W
EGTT-W|London ACC (West) - London|LON_WB|EGTT-W
EGTT-W|London ACC (West) - London|LON_WL|EGTT-W
EGTT-W|London ACC (West) - London|LON_23|EGTT-W
EGTT-W|London ACC (West) - London|LON_8|EGTT-W
EGTT-W|London ACC (West) - London|LON_WX|EGTT-W
EGTT-W|London ACC (West) - London|LON_9|EGTT-W
EGVV|Swanwick Military|EGVV|EGVV
EGYP|Mount Pleasant (Monte Agradable)|ISLAND|EGYP
EHAA|Amsterdam||EHAA
EHMC|Dutch Mil (Up to FL245)||EHAA
EHML|Bandbox CRC (Military)||EHAA
EIDW|Dublin ACC (Up to FL245) - Shannon||EIDW
EISN|Shannon ACC - Shannon||EISN
EISN-L|Shannon ACC (Up to FL245) - Shannon|EISN_LS|EISN-L
EKDK|Kobenhavn||EKDK
EKDK-E|Kobenhavn (East)|EKDK_E|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_D|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_I|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_B|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_C|EKDK-E
EKDK-E|Kobenhavn (East)|EKDK_A|EKDK-E
EKDK-W|Kobenhavn (West)|EKDK_V|EKDK-W
EKDK-W|Kobenhavn (West)|EKDK_N|EKDK-W
EKDK-W|Kobenhavn (West)|EKDK_L|EKDK-W
EKDK-W|Kobenhavn (West)|EKDK_S|EKDK-W
ENBD|Bodo ACC - Polaris||ENBD
ENBD-E|Bodø ACC (East) - Polaris|ENBD_E|ENBD-E
ENBD-C|Bodø ACC (Central) - Polaris|ENBD_C|ENBD-C
ENBD-S|Bodø ACC (South) - Polaris|ENBD_S|ENBD-S
ENBD-19|Bodø ACC - Polaris|ENBD_19|ENBD-19
ENOB|Bodo Oceanic||ENOB
ENOR|Polaris||ENOR
ENOR-SC|Polaris South-Central|ENOR_SC|ENOR-SC
ENOR-S|Polaris South|ENOR_S|ENOR-S
ENOS|Oslo ACC - Polaris||ENOS
ENOS-1|Oslo ACC (Sector 1) - Polaris|ENOS_1|ENOS-1
ENOS-4|Oslo ACC (Sector 4) - Polaris|ENOS_4|ENOS-4
ENOS-8|Oslo ACC (Sector 8) - Polaris|ENOS_8|ENOS-8
ENRC-N|Bodo RTC North - Polaris|ENRC_N|ENBD
ENRC-S|Bodo RTC South - Polaris|ENRC_S|ENOR-S
ENSV|Stavanger ACC - Polaris||ENSV
ENSV-W|Stavanger West ACC - Polaris|ENSV_W|ENSV-W
ENSV-E|Stavanger East ACC - Polaris|ENSV_E|ENSV-E
EPWW|Warszawa|EPWA|EPWW
EPWW-N|Warszawa|EPWW-N|EPWW
EPWW-S|Warszawa|EPWW-S|EPWW
EPWW-W|Warszawa|EPWW-W|EPWW
EPWW-SW|Warszawa (if West offline)|EPWW-SW|EPWW
EPWW-NW|Warszawa (if West offline)|EPWW-NW|EPWW
ESMM|Malmo ACC - Sweden||ESMM
ESMM-5|Malmo ACC (5) - Sweden|ESMM_5|ESMM-5
ESMM-7|Malmo ACC (7) - Sweden|ESMM_7|ESMM-7
ESMM-8|Malmo ACC (8) - Sweden|ESMM_8|ESMM-8
ESOS|Stockholm ACC - Sweden||ESOS
ESOS-K|Stockholm ACC (K) - Sweden|ESOS_K|ESOS-K
ESOS-N|Stockholm ACC (N) - Sweden|ESOS_N|ESOS-N
ESOS-3|Stockholm ACC (3) - Sweden|ESOS_3|ESOS-3
ESSR|Stockholm RTC - Sweden||ESOS
EVRR|Riga||EVRR
EYVL|Vilnius||EYVL
FACA|Cape Town||FACA
FACA-E|Cape Town ACC (East) - Cape Town|FACA_E|FACA-E
FACA-W|Cape Town ACC (West) - Cape Town|FACA_W|FACA-W
FAJO|Johannesburg Oceanic||FAJO
FAJA|Johannesburg||FAJA
FASA|South Africa||FASA
FBGR|Gaborone||FBGR
FCCC|Brazzaville||FCCC
FIMM|Mauritius||FIMM
FLFI|Lusaka||FLFI
FMMM|Antananarivo||FMMM
FNAN|Luanda||FNAN
FQBE|Beira||FQBE
FSSS|Seychelles||FSSS
FTTT|N'Djamena||FTTT
FVHF|Harare||FVHF
FWLL|Lilongwe||FWLL
FYWH|Windhoek||FYWH
FZZA|Kinshasa||FZZA
GCCC|Canarias||GCCC
GCCC-R6|Canarias|GCCC_R6|GCCC-R6
GCCO|Canarias Oceanic||GCCO
GLRB|Roberts||GLRB
GMMM|Casablanca||GMMM
GMAC|Agadir||GMAC
GOOO|Dakar||GOOO
GOOC|Dakar Oceanic||GOOC
GVSC|Sal Oceanic||GVSC
HAAA|Addis Ababa||HAAA
HBBA|Bujumbura||HBBA
HCSM|Mogadishu||HCSM
HECC|Cairo||HECC
HHAA|Asmara||HHAA
HKNA|Nairobi||HKNA
HJJJ|Juba (Up to FL245)||HJJJ
HLLL|Tripoli|TIP|HLLL
HLLL|Tripoli|HLLT|HLLL
HLLB|Benina|BEN|HLLL
HRYR|Kigali||HRYR
HSSS|Khartoum||HSSS
HTDC|Dar-Es-Salaam||HTDC
HUEC|Entebbe||HUEC
KZAB|Albuquerque|ABQ|KZAB
KZAU|Chicago|CHI|KZAU
KZAU|Chicago|ORD|KZAU
KZBW|Boston|BOS|KZBW
KZDC|Washington|DC|KZDC
KZDC|Washington|WAS|KZDC
KZDV|Denver|DEN|KZDV
KZFW|Fort Worth|FTW|KZFW
KZHU|Houston|HOU|KZHU
KZID|Indianapolis|IND|KZID
KZJX|Jacksonville|JAX|KZJX
KZJX-P|Jacksonville (Panhandle)|JAX_P|KZJX-P
KZJX-C|Jacksonville (Central)|JAX_C|KZJX-C
KZJX-A|Jacksonville (Atlantic)|JAX_A|KZJX-A
KZKC|Kansas City|MCI|KZKC
KZKC|Kansas City|KC|KZKC
KZLA|Los Angeles|LAX|KZLA
KZLA|Los Angeles|LA|KZLA
KZLC|Salt Lake City|SLC|KZLC
KZMA|Miami|MIA|KZMA
KZMO|Miami|ZMO|KZMO
KZME|Memphis|MEM|KZME
KZMP|Minneapolis|MSP|KZMP
KZNY-W|New York (West)|NY_W|KZNY-W
KZNY|New York|NY|KZNY
KZNY-BDA|New York - Bermuda TMA|BDA|KZNY-BDA
KZOA|Oakland|OAK|KZOA
KZAK|Oakland Oceanic|ZAK|KZAK
KZAK|Oakland Oceanic|OO|KZAK
KZAK|Oakland Oceanic|OOR|KZAK
KZAK|Oakland Oceanic|OORO|KZAK
KZA1|San Francisco Oceanic|SF|KZAK
KZA1|San Francisco Oceanic|SFR|KZAK
KZA1|San Francisco Oceanic|SFRO|KZAK
KZOB|Cleveland|CLE|KZOB
KZSE|Seattle|SEA|KZSE
KZTL|Atlanta|ATL|KZTL
LAAA|Tirana||LAAA
LBSR|Sofia||LBSR
LCCC|Nicosia||LCCC
LCCC-E|Nicosia-East|LCCC_E|LCCC-E
LCCC-S2|Nicosia-South2|LCCC_S2|LCCC-S2
LCCC-S1|Nicosia-South1|LCCC_S1|LCCC-S1
LCCC-W|Nicosia-West|LCCC_W|LCCC-W
LDZO|Zagreb||LDZO
LECB|Barcelona|LEBL|LECB
LECB-W|Barcelona West|LECB_RW|LECB-W
LECB-E|Barcelona East|LECB_RE|LECB-E
LECB-S|Barcelona South|LECB_RS|LECB-S
LECB-N|Barcelona North|LECB_RN|LECB-N
LECL|Valencia (FL245-)||LECL
LECM|Madrid|LEMD|LECM
LECM-ALL|Madrid|LECM_ALL|LECM-ALL
LECM-R1|Madrid|LECM_R1|LECM-R1
LECM-R2|Madrid|LECM_R2|LECM-R2
LECP|Palma (FL245-)|LEPA|LECP
LECS|Sevilla||LECS
LFBB|Bordeaux||LFBB
LFEE|Reims (Covers North-East LFFF FL295+)||LFEE
LFEE-N|Reims North (Covers North-East LFFF FL295+)||LFEE-N
LFEE-S|Reims South||LFEE-S
LFFF|Paris|LFPG|LFFF
LFMM|Marseille||LFMM
LFRR|Brest||LFRR
LFRR-N|Brest North||LFRR-N
LFRR-E|Brest East (Covers West LFFF FL295+)||LFRR-E
LFUM|Marseille Upper||LFMM
LGGG|Athinai||LGGG
LGGG|Athinai ACC (Above FL325) - Athinai|LGGG_U|LGGG
LGGG-RDS|Athinai ACC (Rodos) - Athinai|LGGG_RDS|LGGG-RDS
LGGG-KRK|Athinai ACC (Kerkira) - Athinai|LGGG_KRK|LGGG-KRK
LGGG-MIL|Athinai ACC (Milos) - Athinai|LGGG_MIL|LGGG-MIL
LGGG-KFN|Athinai ACC (Kefallinia) - Athinai|LGGG_KFN|LGGG-KFN
LGGG-PLH|Athinai ACC (Paleochora) - Athinai|LGGG_PLH|LGGG-PLH
LGGG-KAV|Athinai ACC (Kavos) - Athinai|LGGG_KAV|LGGG-KAV
LGGG-SIT|Athinai ACC (Sitia) - Athinai|LGGG_SIT|LGGG-SIT
LGMD-W|Makedonia ACC (West) - Athinai|LGMD_W|LGMD-W
LGMD-LMO|Makedonia ACC (Limnos) - Athinai|LGMD_LMO|LGMD-LMO
LGMD-KVL|Makedonia ACC (Kavala) - Athinai|LGMD_KVL|LGMD-KVL
LHCC|Budapest||LHCC
LIBB|Brindisi||LIBB
LIMM|Milano||LIMM
LIPP|Padova|LIMM|LIPP
LIRR|Roma||LIRR
LJLA|Ljubljana||LJLA
LKAA|Praha||LKAA
LLLL|Tel Aviv|LLTA|LLLL
LLLL|Tel Aviv|SHOLET|LLLL
LLSC|Tel Aviv South||LLSC
LLPT|Tel Aviv North|PLUTO|LLPT
; dummy codes for Israel CVFR centers
LLPL|Pluto|PLUTO|LLLL
LLGV|Hagav|HAGAV|LLLL
LMMM|Malta||LMMM
LOVV-C|Wien|LOVV_C|LOVV-C
LOVV-B|Wien|LOVV_B|LOVV-B
LOVV-N|Wien|LOVV_N|LOVV-N
LOVV-N|Wien|LOVV_F|LOVV-N
LOVV-E|Wien|LOVV_E|LOVV-E
LOVV-W|Wien|LOVV_W|LOVV-W
LOVV|Wien||LOVV
LPPC|Lisboa||LPPC
LPPC-D|Lisboa - DEMOS+VERAM Sector|LPPC_D|LPPC-D
LPPC-W|Lisboa - WEST COMBINED|LPPC_W|LPPC-W
LPPC-E|Lisboa - EAST COMBINED|LPPC_E|LPPC-E
LPPC-I|Lisboa - MADEIRA Sector|LPPC_I|LPPC-I
LPPC-N|Lisboa - NORTH Sector|LPPC_N|LPPC-N
LPPC-C|Lisboa - CENTRE Sector|LPPC_C|LPPC-C
LPPC-S|Lisboa - SOUTH Sector|LPPC_S|LPPC-S
LPPO|Santa Maria|LPAZ|LPPO
LPPO-TMA|Santa Maria Radar|LPPO|LPPO-TMA
LPAM|Lisboa Military||LPPC
LQSB|Sarajevo|LQSA|LQSB
LRBB|Bucharest||LRBB
LSAS|Swiss Radar - Switzerland||LSAS
LSAG|Swiss Radar (Geneva ACC) - Switzerland||LSAG
LSAZ|Swiss Radar (Zurich ACC) - Switzerland||LSAZ
LTAA|Ankara Control - Ankara|ANK|LTAA
LTAA-A|Ankara Control - Ankara Central & East|ANK_A|LTAA-A
LTAA-A|Ankara Control - Ankara Central|ANK_C|LTAA-A
LTAA-A|Ankara Control - Ankara East|ANK_E|LTAA-A
LTAA-A|Ankara Control - Ankara North|ANK_N|LTAA-A
LTAA-A|Ankara Control - Ankara South|ANK_S|LTAA-A
LTAA-A|Ankara Control - Ankara East North|ANK_EN|LTAA-A
LTAA-A|Ankara Control - Ankara East South|ANK_ES|LTAA-A
LTAA-A|Ankara Control - Ankara 7 Sector|ANK_7|LTAA-A
LTAA-A|Ankara Control - Ankara 8 Sector|ANK_8|LTAA-A
LTAA-A|Ankara Control - Ankara 9 Sector|ANK_9|LTAA-A
LTAA-A|Ankara Control - Ankara 10 Sector|ANK_10|LTAA-A
LTAA-A|Ankara Control - Ankara 11 Sector|ANK_11|LTAA-A
LTAA-A|Ankara Control - Ankara 12 Sector|ANK_12|LTAA-A
LTAA-A|Ankara Control - Ankara 13 Sector|ANK_13|LTAA-A
LTAA-A|Ankara Control - Ankara 14 Sector|ANK_14|LTAA-A
LTAA-A|Ankara Control - Ankara 15 Sector|ANK_15|LTAA-A
LTAA-A|Ankara Control - Ankara 16 Sector|ANK_16|LTAA-A
LTAA-A|Ankara Control - Ankara 17 Sector|ANK_17|LTAA-A
LTAA-A|Ankara Control - Ankara 18 Sector|ANK_18|LTAA-A
LTAA-A|Ankara Control - Ankara 19 Sector|ANK_19|LTAA-A
LTBB|Ankara Control - Istanbul|ANK_W|LTBB
LTBB|Ankara Control - Istanbul West North|ANK_WN|LTBB
LTBB|Ankara Control - Istanbul West South|ANK_WS|LTBB
LTBB|Ankara Control - Ankara 1 Sector|ANK_1|LTBB
LTBB|Ankara Control - Ankara 2 Sector|ANK_2|LTBB
LTBB|Ankara Control - Ankara 3 Sector|ANK_3|LTBB
LTBB|Ankara Control - Ankara 4 Sector|ANK_4|LTBB
LTBB|Ankara Control - Ankara 5 Sector|ANK_5|LTBB
LTBB|Ankara Control - Ankara 6 Sector|ANK_6|LTBB
LUUU|Chisinau|LUKK|LUUU
LWSS|Skopje||LWSS
LYBA|Beograd||LYBA
LZBB|Bratislava||LZBB
MDCS|Santo Domingo||MDCS
MHCC|Cenamer||MHCC
MKJK|Kingston||MKJK
MMEX|Mexico||MMEX
MMFR|Mexico||MMFR
MMID|Merida|MID|MMID
MMTY|Monterrey|MTY|MMTY
MMZT|Mazatlan|MZT|MMZT
MMFO|Mazatlan|MZT|MMZT
MPZL|Panama||MPZL
MTEG|Port-Au-Prince||MTEG
MUFH|Havana|HAV|MUFH
NAT|Shanwick & Gander|NAT|NAT
NCRG|Rarotonga||NCRG
NFFF|Nadi Oceanic||NFFF
NFFN|Nadi||NFFN
NVVV|Port Vila||NVVV
NSTU|Pago Pago||NZZO
NTTT|Tahiti Radio||NTTT
NTTC|Tahiti||NTTC
NWWW|Noumea||NWWW
NZZO|Auckland Radio||NZZO
NZZO|Auckland Radio East|NZZO-E|NZZO
NZZO|Auckland Radio (Tasman)|NZZO-TSN|NZZO
NZAA|Auckland||NZAA
NZAA|Auckland (Raglan)|NZAA-R|NZAA
NZCB|Christchurch (Bay)|NZCH-B|NZCB
NZCT|Christchurch (Taranaki)|NZCH-T|NZCT
NZCK|Christchurch (Kaikoura)|NZCH-K|NZCK
NZCS|Christchurch (South)|NZCH-S|NZCS
NZOH|Ohakea||NZOH
NZCM|McMurdo (Mac)||NZCM
NSFA|Faleolo||NSFA
OAKX|Kabul||OAKX
OBBB|Bahrain||OBBB
OBBB-E|Bahrain East|OBBB_E|OBBB-E
OBBB-N|Bahrain North|OBBB_N|OBBB-N
OBBB-S|Bahrain South|OBBB_S|OBBB-S
OBBB-C|Bahrain Central|OBBB_C|OBBB-C
OEJD|Jeddah||OEJD
OERD|Riyadh||OERD
OIIX|Tehran|TEH|OIIX
OTDF|Doha FIR (Up to FL245)||OTDF
TEH-1W|Tehran 1 West|TEH_1W|TEH-1W
TEH-1N|Tehran 1 North|TEH_1N|TEH-1N
TEH-1E|Tehran 1 East|TEH_1E|TEH-1E
TEH-2W|Tehran 2 West|TEH_2W|TEH-2W
TEH-2E|Tehran 2 East|TEH_2E|TEH-2E
TEH-3N|Tehran 3 North|TEH_3N|TEH-3N
TEH-3S|Tehran 3 South|TEH_3S|TEH-3S
TEH-4W|Tehran 4 West|TEH_4W|TEH-4W
TEH-4S|Tehran 4 South|TEH_4S|TEH-4S
TEH-4E|Tehran 4 East|TEH_4E|TEH-4E
TEH-5W|Tehran 5 West|TEH_5W|TEH-5W
TEH-5E|Tehran 5 East|TEH_5E|TEH-5E
TEH-6E|Tehran 6 East|TEH_6E|TEH-6E
TEH-6W|Tehran 6 West|TEH_6W|TEH-6W
TEH-7|Tehran 7|TEH_7|TEH-7
OJAC|Amman||OJAC
OKAC|Kuwait||OKAC
OLBB|Beirut|OLBA|OLBB
OMAE|U.A.E|UAE|OMAE
OOMM|Muscat||OOMM
OPKR|Karachi|OPKR|OPKR
OPKR|Karachi|OPKR-C|OPKR
OPKR|Karachi|OPKR-E|OPKR
OPKR|Karachi|OPKR-S|OPKR
OPKR|Karachi|OPKR-W|OPKR
OPLR|Lahore|OPLR|OPLR
OPLR|Lahore|OPLR-E|OPLR
OPLR|Lahore (Islamabad)|ISB|OPLR
OPLR|Lahore|OPLR-S|OPLR
OPLR|Lahore|OPLR-W|OPLR
ORBB|Baghdad||ORBB
ORBB-N|Baghdad North||ORBB-N
ORBB-S|Baghdad South||ORBB-N
OSTT|Damascus|OSDI|OSTT
OYSC|Sanaa||OYSC
PAZA|Anchorage||PAZA
PAZA-D|Anchorage|ANC|PAZA-D
PAZA-P|Anchorage Oceanic - Pacific|ZAN_10|PAZA-P
PAZA-P|Anchorage Oceanic - Pacific|ZAN_11|PAZA-P
PAZA-A|Anchorage Oceanic - Arctic|ZAN_64|PAZA-A
PGZU|Guam|GU|PGZU
PGZU|Guam|GUM|PGZU
PGZU|Guam|GUAM|PGZU
PGZU|Guam|UAM|PGZU
PHZH|Honolulu|HNL|PHZH
PHZH|Honolulu|HCF|PHZH
RCAA|Taipei|TPE|RCAA
RJCG|Sapporo ACC - Fukuoka|SPO|RJCG
RJCG|Sapporo ACC - Fukuoka|RJCO|RJCG
RJDG|Fukuoka ACC - Fukuoka|FKO|RJDG
RJTG|Tokyo ACC - Fukuoka||RJTG
RKRR|Incheon ACC - Incheon||RKRR
RKRR-N|Incheon ACC (North) - Incheon||RKRR-N
RKRR-S|Incheon ACC (South) - Incheon||RKRR-S
RKDA|Daegu ACC - Incheon||RKDA
RKDA-W|Daegu ACC (West) - Incheon||RKDA
RKDA-E|Daegu ACC (East) - Incheon||RKDA
RKDA-C|Daegu ACC (Central) - Incheon||RKDA
RJBG|Kobe ACC - Fukuoka||RJBG
RPHI|Manila|MNL|RPHI
SACF|Cordoba||SACF
SACO|Cordoba TMA - Cordoba||SACO
SAEF|Ezeiza||SAEF
SAEF-N|Ezeiza ACC (North) - Ezeiza|SAEF_N|SAEF-N
SAEF-S|Ezeiza ACC (South) - Ezeiza|SAEF_S|SAEF-S
BAIRES|Baires TMA - Ezeiza||BAIRES
SAMF|Mendoza||SAMF
SAME|Mendoza TMA - Mendoza||SAME
SARR|Resistencia||SARR
SARE|Resistencia TMA - Resistencia||SARE
SAVF|Comodoro Rivadavia||SAVF
SAVC|Comodoro Rivadavia TMA - Comodoro Rivadavia||SAVC
SBAZ|Amazonica||SBAZ
SBBS|Brasilia|SBBR|SBBS
SBCW|Curitiba||SBCW
